Oceano,pH,Temperatura,Dia,Mês,Ano
Artico,4,3,1,1,2023
Atlantico,2,6.1,2,1,2023
Indico,8,7.2,3,1,2023
Pacifico,5,6.3,4,1,2023
Artico,7,4.4,5,1,2023
Atlantico,3,5.5,6,1,2023
Indico,7,4.6,7,1,2023
Pacifico,1,6.7,8,1,2023
Artico,2,6.8,9,1,2023
Atlantico,6,4.9,10,1,2023
Indico,3,3.9,11,1,2023
Pacifico,3,7.8,12,1,2023
Artico,8,7.7,13,1,2023
Atlantico,0,4.6,14,1,2023
Indico,2,4.5,15,1,2023
Pacifico,3,7.4,16,1,2023
Artico,2,3.3,17,1,2023
Atlantico,2,7.2,18,1,2023
Indico,9,5.1,19,1,2023
Pacifico,6,6,20,1,2023
Artico,9,4,21,1,2023
Atlantico,3,7.1,22,1,2023
Indico,6,5.2,23,1,2023
Pacifico,1,7.3,24,1,2023
Artico,3,5.4,25,1,2023
Atlantico,9,6.5,26,1,2023
Indico,1,4.6,27,1,2023
Pacifico,2,5.7,28,1,2023
Artico,8,3.8,29,1,2023
Atlantico,2,5.9,30,1,2023
Indico,6,4.9,31,1,2023
Pacifico,8,7.8,1,2,2023
Artico,6,3.7,2,2,2023
Atlantico,5,3.6,3,2,2023
Indico,9,7.5,4,2,2023
Pacifico,7,7.4,5,2,2023
Artico,1,6.3,6,2,2023
Atlantico,8,4.2,7,2,2023
Indico,4,5.1,8,2,2023
Pacifico,3,5,9,2,2023
Artico,8,5,10,2,2023
Atlantico,3,7.1,11,2,2023
Indico,5,6.2,12,2,2023
Pacifico,6,7.3,13,2,2023
Artico,0,6.4,14,2,2023
Atlantico,1,6.5,15,2,2023
Indico,8,3.6,16,2,2023
Pacifico,9,7.7,17,2,2023
Artico,2,7.8,18,2,2023
Atlantico,6,7.9,19,2,2023
Indico,4,4.9,20,2,2023
Pacifico,0,5.8,21,2,2023
Artico,2,3.7,22,2,2023
Atlantico,6,7.6,23,2,2023
Indico,7,3.5,24,2,2023
Pacifico,8,5.4,25,2,2023
Artico,6,6.3,26,2,2023
Atlantico,2,6.2,27,2,2023
Indico,0,3.1,28,2,2023
Pacifico,0,3,1,3,2023
Artico,0,3,2,3,2023
Atlantico,6,4.1,3,3,2023
Indico,6,5.2,4,3,2023
Pacifico,0,5.3,5,3,2023
Artico,9,7.4,6,3,2023
Atlantico,5,4.5,7,3,2023
Indico,5,3.6,8,3,2023
Pacifico,0,5.7,9,3,2023
Artico,5,7.8,10,3,2023
